properties{
  x = 0,
  y = 0,
  width = 720,
  height = 376,
  world = "d_spirit",
  tileset = "spirit",
  music = "same",
}

tile{
  layer = 0,
  x = 32,
  y = 48,
  width = 672,
  height = 320,
  pattern = "116",
}

tile{
  layer = 0,
  x = 448,
  y = 312,
  width = 48,
  height = 48,
  pattern = "101",
}

tile{
  layer = 0,
  x = 112,
  y = 312,
  width = 48,
  height = 48,
  pattern = "101",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 48,
  height = 48,
  pattern = "101",
}

tile{
  layer = 0,
  x = 448,
  y = 32,
  width = 48,
  height = 48,
  pattern = "101",
}

tile{
  layer = 0,
  x = 592,
  y = 160,
  width = 96,
  height = 112,
  pattern = "116",
}

tile{
  layer = 0,
  x = 656,
  y = 160,
  width = 8,
  height = 24,
  pattern = "132",
}

tile{
  layer = 0,
  x = 616,
  y = 168,
  width = 8,
  height = 16,
  pattern = "131",
}

tile{
  layer = 0,
  x = 496,
  y = 136,
  width = 192,
  height = 16,
  pattern = "16",
}

tile{
  layer = 0,
  x = 328,
  y = 336,
  width = 8,
  height = 8,
  pattern = "228",
}

tile{
  layer = 0,
  x = 336,
  y = 336,
  width = 8,
  height = 8,
  pattern = "229",
}

tile{
  layer = 0,
  x = 272,
  y = 336,
  width = 8,
  height = 8,
  pattern = "219",
}

tile{
  layer = 0,
  x = 264,
  y = 336,
  width = 8,
  height = 8,
  pattern = "218",
}

tile{
  layer = 0,
  x = 496,
  y = 232,
  width = 80,
  height = 128,
  pattern = "101",
}

tile{
  layer = 0,
  x = 472,
  y = 224,
  width = 8,
  height = 80,
  pattern = "209",
}

tile{
  layer = 0,
  x = 480,
  y = 232,
  width = 16,
  height = 64,
  pattern = "208",
}

tile{
  layer = 0,
  x = 592,
  y = 224,
  width = 8,
  height = 48,
  pattern = "207",
}

tile{
  layer = 0,
  x = 576,
  y = 232,
  width = 16,
  height = 48,
  pattern = "206",
}

tile{
  layer = 0,
  x = 40,
  y = 224,
  width = 80,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 40,
  y = 232,
  width = 80,
  height = 16,
  pattern = "32",
}

tile{
  layer = 0,
  x = 16,
  y = 168,
  width = 16,
  height = 64,
  pattern = "206",
}

tile{
  layer = 0,
  x = 32,
  y = 168,
  width = 8,
  height = 64,
  pattern = "207",
}

tile{
  layer = 0,
  x = 40,
  y = 160,
  width = 80,
  height = 8,
  pattern = "31",
}

tile{
  layer = 0,
  x = 112,
  y = 248,
  width = 16,
  height = 48,
  pattern = "206",
}

tile{
  layer = 0,
  x = 128,
  y = 240,
  width = 8,
  height = 64,
  pattern = "207",
}

tile{
  layer = 0,
  x = 336,
  y = 32,
  width = 96,
  height = 16,
  pattern = "16",
}

tile{
  layer = 0,
  x = 328,
  y = 48,
  width = 112,
  height = 8,
  pattern = "31",
}

tile{
  layer = 0,
  x = 144,
  y = 56,
  width = 320,
  height = 8,
  pattern = "94",
}

tile{
  layer = 0,
  x = 176,
  y = 32,
  width = 96,
  height = 16,
  pattern = "16",
}

tile{
  layer = 0,
  x = 264,
  y = 160,
  width = 80,
  height = 64,
  pattern = "41",
}

tile{
  layer = 0,
  x = 240,
  y = 152,
  width = 8,
  height = 80,
  pattern = "209",
}

tile{
  layer = 0,
  x = 248,
  y = 160,
  width = 16,
  height = 64,
  pattern = "208",
}

tile{
  layer = 0,
  x = 360,
  y = 152,
  width = 8,
  height = 80,
  pattern = "207",
}

tile{
  layer = 0,
  x = 344,
  y = 160,
  width = 16,
  height = 64,
  pattern = "206",
}

tile{
  layer = 0,
  x = 144,
  y = 328,
  width = 136,
  height = 8,
  pattern = "90",
}

tile{
  layer = 0,
  x = 328,
  y = 328,
  width = 104,
  height = 8,
  pattern = "90",
}

tile{
  layer = 0,
  x = 176,
  y = 48,
  width = 112,
  height = 8,
  pattern = "31",
}

tile{
  layer = 0,
  x = 320,
  y = 32,
  width = 24,
  height = 8,
  pattern = "13",
}

tile{
  layer = 0,
  x = 264,
  y = 32,
  width = 24,
  height = 8,
  pattern = "9",
}

tile{
  layer = 0,
  x = 288,
  y = 32,
  width = 32,
  height = 16,
  pattern = "214",
}

tile{
  layer = 0,
  x = 256,
  y = 232,
  width = 96,
  height = 8,
  pattern = "31",
}

tile{
  layer = 0,
  x = 256,
  y = 136,
  width = 96,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 264,
  y = 144,
  width = 80,
  height = 16,
  pattern = "32",
}

tile{
  layer = 0,
  x = 264,
  y = 216,
  width = 80,
  height = 16,
  pattern = "16",
}

tile{
  layer = 0,
  x = 240,
  y = 240,
  width = 128,
  height = 8,
  pattern = "94",
}

tile{
  layer = 0,
  x = 232,
  y = 136,
  width = 8,
  height = 104,
  pattern = "96",
}

tile{
  layer = 0,
  x = 368,
  y = 136,
  width = 8,
  height = 104,
  pattern = "92",
}

tile{
  layer = 0,
  x = 240,
  y = 128,
  width = 128,
  height = 8,
  pattern = "90",
}

tile{
  layer = 0,
  x = 368,
  y = 128,
  width = 8,
  height = 8,
  pattern = "91",
}

tile{
  layer = 0,
  x = 232,
  y = 128,
  width = 8,
  height = 8,
  pattern = "89",
}

tile{
  layer = 0,
  x = 368,
  y = 240,
  width = 8,
  height = 8,
  pattern = "93",
}

tile{
  layer = 0,
  x = 232,
  y = 240,
  width = 8,
  height = 8,
  pattern = "95",
}

tile{
  layer = 0,
  x = 472,
  y = 152,
  width = 8,
  height = 8,
  pattern = "98",
}

tile{
  layer = 0,
  x = 344,
  y = 336,
  width = 96,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 352,
  y = 344,
  width = 80,
  height = 16,
  pattern = "32",
}

tile{
  layer = 0,
  x = 176,
  y = 336,
  width = 96,
  height = 8,
  pattern = "38",
}

tile{
  layer = 0,
  x = 176,
  y = 344,
  width = 80,
  height = 16,
  pattern = "32",
}

tile{
  layer = 0,
  x = 112,
  y = 96,
  width = 16,
  height = 48,
  pattern = "206",
}

tile{
  layer = 0,
  x = 128,
  y = 96,
  width = 8,
  height = 64,
  pattern = "207",
}

tile{
  layer = 0,
  x = 136,
